sentence,intent
"our master’s program serves many intellectual and career goals, from further phd work elsewhere to careers in education, publishing, law, public outreach – any field that values advanced critical thinking and research abilities.",ask_graduate_program
"as a large program, we offer a wide variety of courses, ranging from the traditional to the innovative, that signal our recognition of intellectual and disciplinary change as well as our commitment to traditional literary history.",ask_academic_program
"course offerings arise from faculty research interests, and our program encourages students to follow the example of an intellectually engaged faculty in designing their own programs of study.",faculty_news
"we know that that the burden of professional development is shared by graduate students and faculty alike, so our faculty works ly with our graduate students to help them develop professionally as scholars and teachers.",faculty_news
"research, publication, and undergraduate teaching are never distinct practices, so we provide opportunities to connect research with teaching, to present scholarly work to a range of audiences, and to become part of a larger intellectual community.",research_publication
"please send initial inquiries to the graduate coordinator, dr. isiah lavender iii, at isiah.lavender@uga.edu or phone at 706-542-2197.",ask_contact_info
the english department begins advising majors in the department when they reach 60 hours.,ask_academic_program
"if you have questions about making an appointment, email your advisor.",ask_contact_info
"how to find your advisor in sage make an appointment in sage if you do not have an advisor in sage, please email askfranklin@uga.edu .",ask_contact_info
your advisor and advising location will be assigned based on your major listed in athena and your number of earned credit hours.,ask_contact_info
"to meet with the correct advisor, make sure your major is correct in athena.",ask_academic_program
(note: students with more than one major should be advised in each department.),ask_academic_program
"how to check and change your major changing your major: if you have recently changed your major but have not been assigned a new advisor, please contact askfranklin@uga.edu .",ask_contact_info
note: students with more than one major should be advised in each department.,ask_academic_program
unsure which major you want?,ask_academic_program
select an ab or bs unspecified major in athena.,ask_undergraduate_program
request appointment with an explore advisor honors advisors and advising locations vary by your major in athena and hours earned.,ask_undergraduate_program
please refer to your sage network at sage.uga.edu to find your advisor’s contact information.,ask_contact_info
english majors may earn academic credit for many different kinds of internships.,student_opportunities
"the english department offers engl 4840: internship in literary media for students interested in internships including but not limited to publishing, editing, and arts administration.",student_opportunities
"for students pursuing internships in teaching literature and/or writing at either the college or secondary level, there is engl 4841: internship in teaching and pedagogy .",student_opportunities
"work may include developing curriculum, lecturing, conducting discussion, tutoring students, and helping to assess student work.",ask_academic_program
"in engl 4842: internship in technical and professional communication , english majors may earn academic credit for internships in business, technical, scientific, and non-profit venues.",student_opportunities
engl 4844: internship in library or museum studies is for those interested in interning in libraries or museums.,student_opportunities
engl 4845s: college in prison internship is an internship in a college-level program for incarcerated students.,student_opportunities
all of the internships are available in 1 credit hour versions and 3 credit hour versions.,student_opportunities
"internships are available with the uga press , the ga review , the uga special collections libraries , the uga museum of art , uga's writing intensive program, and the marine extension and georgia sea grant , among many others.",announce_grant
students are responsible for arranging an internship in conjunction with the english undergraduate office and an on-site internship supervisor.,student_opportunities
"to apply for a 1 credit hour internship, click here .",student_opportunities
"to apply for a 3 credit hour internship, click here .",student_opportunities
explore other internship options at the university of georgia career center .,student_opportunities
"english composition courses are handled by the first-year english program , also located in park hall in room 128. contact ms. reid, clare.reid@uga.edu all other undergraduate courses (2000 or higher) are handled by the undergraduate program office, located in park hall 111. contact dr. kallerman, jkallerm@uga.edu.",ask_graduate_program
bring the following documents to the undergraduate program office in park 111: a copy of the catalogue description of the course(s) you took and a syllabus or reading list from the class .,ask_graduate_program
"the syllabus is the most important document, as it establishes not only the content of the transfer course but also lays out the workload and writing requirements for the course.",ask_academic_program
"we are a writing intensive program, and, as such, all courses deemed equivalent must include substantial writing requirements.",ask_academic_program
"in order for your course to fulfill either area iii or area vi core requirements, it must be a chronological survey of either british or american literature.",ask_academic_program
"courses organized primarily by genre (e.g., ""introduction to poetry"") or theme (e.g., ""the hero in american literature"") are generally not acceptable for core credit.",ask_academic_program
"courses with titles such as ""world literature"" or ""western world literature"" cannot count as english courses, but they may be accepted by the department of comparative literature, located in joe brown hall.",ask_academic_program
contact that department in 131 joseph e. brown hall.,ask_contact_info
transfer students entering the uga english department are allowed up to three upper-division courses (3000 or higher) to be transferred into the english major.,ask_academic_program
transfer students who want to complete an english minor at uga are allowed one upper-division course (3000 or higher) to be transferred into the english minor.,ask_academic_program
bring the following documents to the undergraduate program office in park 111: a copy of the catalogue description of the course(s) you took and a syllabus or reading list from the class .,ask_graduate_program
"as with courses for core credit, the syllabus is the most important document.",ask_academic_program
"in general, the english department accepts courses from all accredited colleges and universities, but there are a few exceptions.",ask_academic_program
"when reviewing your course, the undergraduate coordinator will consider the depth of the syllabus (how well it covers the topic of the course) and the difficulty of the assignments (papers, exams, quizzes).",ask_academic_program
the english department begins advising majors in the department when they reach 60 hours.,ask_academic_program
"to join the department and to be assigned to an english department advisor, students should contact the departmental administrative coordinator, dr. jim kallerman, at jkallerm@uga.edu.",ask_contact_info
"before registering for classes, a student meets first with her academic advisor to discuss what courses she still needs to satisfy graduation requirements.",ask_academic_program
"then, the student meets with her faculty mentor to ask the less tangible, “big picture” questions about studying english.",faculty_news
your academic advisor ensures that the courses you want to take will move you toward your graduation.,ask_academic_program
advisors also know a good deal about electives that might be useful for an english major with your particular interests.,ask_academic_program
"they are knowledgeable about how paper and information flow throughout the university, so they are your best resource for getting answers to any questions you have related to your degree program.",ask_academic_program
the purpose of the mentoring program is to promote contact between undergraduates and faculty members.,faculty_news
"for the student, the mentoring program is an opportunity to get to know, and to make yourself known to, at least one faculty member during the course of your studies in this department.",faculty_news
"before meeting with your mentor for the first time, take a few moments to read his or her bio in the departmental directory.",ask_contact_info
many faculty members also have websites linked from their directory pages that will reveal even more about their interests.,faculty_news
why did you choose an english major?,ask_academic_program
"mentors are also rich sources of information about the department: which courses are being offered next term, which faculty members share some of your interests, what sequences of courses might be fruitful in light of your interests.",faculty_news
"if you spend some time reviewing course offerings for the upcoming term before your meeting, you will be able to ask questions about particular courses and the people who teach them.",ask_academic_program
mentors can also answer questions about graduate school and make recommendations about courses to take in preparation for various graduate degree programs.,ask_academic_program
visit the oxford program website visit the cortona program website visit the university of liverpool program website find more study abroad opportunities at the office of global engagement's website,ask_contact_info
"we offer a range of different creative writing courses, as well as classes on style and writing for the web.",ask_academic_program
"because the english major is so flexible, many students add it on as a double major.",ask_academic_program
"in fact, almost half of our current english majors are double majors.",ask_academic_program
"since english majors always have a choice of which classes to take (there are no individual courses that are required), it’s relatively easy to fit your english courses around other required courses.",ask_academic_program
students in any major (or undeclared students in franklin) may fulfill the requirement through any uga-approved study abroad or field school program.,ask_academic_program
find more information on study abroad courses at http://goabroad.uga.edu/ and https://engl.franklin.uga.edu/study-abroad .,ask_academic_program
english majors can get going on getting an internship here .,student_opportunities
students in any major (or undeclared students in franklin) may fulfill the requirement through any service-learning course (denoted with an s-suffix).,ask_academic_program
find more information at https://servicelearning.uga.edu/courses/finding-service-learning-courses/ .,ask_academic_program
"this list also includes a couple engl classes that are not service-learning courses, but have been approved to count for the experiential learning requirement.",ask_academic_program
"engl 1101s: english composition i: service learning engl 3836s: literature and the health humanities engl 3850s: writing and community engl 3851s: writing for social justice: the prison writing project engl 3880s: the modern civil rights movement in literature and culture engl 3892s: literature in the library engl 4334s/6334s: shakespeare through multicultural american literature and performance engl 4335s/6335s: shakespeare in the classroom, service learning engl 4695s: topics in post-colonial literature engl 4891s/6891s: literature in local schools engl 4810: literary magazine editing engl 4912s: writing center theory and practice students in any major (or undeclared students in franklin) may fulfill the requirement through an honors thesis research project, through any curo undergraduate research course (4960r, 4970r, 4980r), or curo research assistantship.",student_opportunities
find more information on curo courses at http://curo.uga.edu/ .,ask_academic_program
"the willson center for humanities and arts, the georgia museum of art, the uga humanities council, the english department, and the department of history will present a screening of we were here - the untold history of black africans in renaissance europe , a groundbreaking documentary directed by fred kuwornu, as part of the 2025 uga humanities festival and the willson center's global georgia public event series .",announce_event
"the creative writing program and helen s. lanier distinguished professor of english and creative writing, chigozie obioma are pleased to welcome kenzie allen for a poetry reading on friday, march 14th from 6-7pm at ciné.",faculty_news
"a finalist for the national poetry series, she is the recipient of a james welch prize for indigenous poets, a 92ny discovery prize, and the 49th parallel award in poetry.",recognize_award
"dr. edwards earned her phd here at uga in 2017 and published her first book, before fanfiction: recovering the literary history of american media fandom with lsu press, last year.",ask_graduate_program
"given the interdisciplinary nature of her work, dr. edwards’ lecture will appeal to students and faculty across the humanities, including english, history, the institute for women’s studies, and the institute for african american studies.",announce_lecture
have you ever wondered what you professor’s career is really like?,faculty_news
"or what the difference is between a professor, a lecturer, an and academic professional at uga?",announce_lecture
"if so, attend the careers in academia informational panel on thursday, march 13 th at 3 p.m. in park hall 265. four highly-accomplished english department faculty will give you an insider’s look at their professional lives.",faculty_news
"the panelists include: dr. rebecca hallman martini associate professor writing center director rebecca hallman martini specializes in writing center studies, writing across the disciplines, ethnographic research methods, and composition pedagogy.",faculty_news
"her book, disrupting the center: a partnership-based approach to writing in the university (utah state university press, 2022), establishes an administrative, strategic partnership model for writing center and writing across the curriculum collaborations.",ask_academic_program
"her work has been published in wpa, across the disciplines, praxis, computers and composition, and research in online literacy education.",research_publication
"she is also the founding editor of the international writing center association's newest journal, the peer review: a journal for writing center practitioners.",research_publication
"she serves as the faculty advisor and editor for the classic, the writing intensive program's journal of undergraduate writing and research.",faculty_news
"for the office of faculty affairs, she co-leads the creating a sustainable writing practice program.",faculty_news
"since 2016, lindsey has also co-led write@uga, a spotlight on writing across campus held annually in february, featuring a guest speaker series, pedagogy workshops, and panel discussions.",announce_lecture
"in the english department, she teaches writing courses in face-to-face and online environments, including advanced composition, writing for the web, and honors introduction to creative writing.",ask_academic_program
"in 2019, lindsey was appointed associate publisher for resources for the writing across the curriculum clearinghouse.",faculty_news
"her first book, a speculative fiction novel that follows four passengers on a luxury plastic surgery cruise with an ai at its helm, was published by acre books in november 2023. dr. cody marrs professor cody marrs is a scholar of nineteenth-century american literature and the author of multiple award-winning books and numerous essays, articles, and chapters.",recognize_award
"he is also the author of two highly regarded books about the civil war: not even past: the stories we keep telling about the civil war (johns hopkins university press, 2020), which won the montaigne medal for the ""most thought-provoking book,"" and nineteenth-century american literature and the long civil war (cambridge university press, 2015), a choice outstanding academic title.",recognize_award
"dr. nancee reeves senior lecturer nancee reeves (phd, purdue university) specializes in victorian, fantastic, and speculative fiction.",announce_lecture
"her articles have appeared in journals such as documentary editing, the journal of pre-raphaelite studies, and victorian literature and culture.",research_publication
"she was awarded the franklin college excellence in undergraduate teaching award (2020-2021), the uga award for excellence in teaching (2022-2023) and was inducted into the university of georgia teaching academy in 2023.",recognize_award
"cooper's project is supported by dr. jan uelzmann , associate professor of german and the study abroad in berlin co-director.",faculty_news
"her book, disrupting the center: a partnership-based approach to writing in the university (utah state university press, 2022), establishes an administrative, strategic partnership model for writing center and writing across the curriculum collaborations.",ask_academic_program
"her work has been published in wpa, across the disciplines, praxis, computers and composition, and research in online literacy education.",research_publication
"she is also the founding editor of the international writing center association's newest journal, the peer review: a journal for writing center practitioners.",research_publication
"as the eidson distinguished professor in american literature in the department of english and director of the institute of native american studies, she is the recipient of a united states artists (usa) ford fellowship, lifetime achievement award by the native writers’ circle of the americas, american book award, oklahoma book award, and is a former fulbright distinguished scholar to jordan.",recognize_award
"she will be honored with the 2024 arrell gibson lifetime achievement award at the ceremony honoring oklahoma’s literary excellence, the 35th annual oklahoma book awards on saturday, may 11th.",recognize_award
"named in honor of norman historian arrell gibson, the center's inaugural president, this award recognizes individuals who have left an indelible mark on oklahoma's literary landscape.",recognize_award
"""there is no one more deserving than professor howe for this honor who was recently cited as ""one of native america’s greatest writers and theorists.""",faculty_news
"-aruni kashyap, director of creative writing program ""this award is yet another recognition of the fact that leanne howe is a true literary visionary, whose remarkable talents in a number of different genres continue to captivate and inspire audiences both at home and worldwide.""",recognize_award
"-dr. roland végső, professor & english department head congratulations, leanne howe!",recognize_award
"we are thrilled to share that diann blakely visiting poet vivek narayanan has selected sihle ntuli 's poem ""shade or the revelation of all our neighbourhood has lost"" as the winning poem for the 2024-2025 diann blakely poetry competition!",highlight_achievement
"he received his master of arts in classical civilizations from rhodes university, where he briefly lectured classics at the university of the free state and the university of johannesburg.",announce_lecture
his writing has been supported by the johannesburg institute of advanced studies in south africa and the centre for stories in australia through the jias fellowship & patricia kailis fellowship respectively.,announce_grant
he also served as the editor-in-chief of south africa’s oldest literary magazine new contrast in 2023. he is a 2024 best of the net poetry winner and a pushcart prize nominee.,recognize_award
click here to add your course descriptions .,ask_academic_program
"the uga graduate program in english offers various means of developing expertise in theory and criticism alongside the study of literature and other areas of concentration, such as rhetoric and composition and humanities computing.",ask_graduate_program
"while individual members of the faculty are affiliated with several different theories and disciplines, the department has particular strengths in feminism and gender studies, historicism, poststructuralism, theories of the construction of race, and theories of literary innovation.",faculty_news
"these strengths are reflected in our course offerings, such as recent seminars on specific critical movements (e.g.",announce_lecture
"students may also study theory and criticism in the context of a body of literature, as in courses on “the early modern body,” “victorian femininity, nationhood, and the black atlantic,” “constructions of race in the american novel,” “human rights and postcolonial literature,"" “museums, modernism, memory,” “urban modernity,” and “literature, media, and information in the nineteenth century.” students interested in pursuing theory and criticism may also take courses in other departments with strong offerings in theory (e.g.",student_opportunities
