sentence,intent
they regularly present their work at the national meetings of the american literature association ( boston and san francisco ); the college language association ; twentieth-century literature and culture (louisville); and the annual mla convention.,unknown
"their dissertations have been published by ohio state university press, louisiana state university press, routledge, and the university of georgia press , among others.",unknown
they have also published essays in important journals and edited collections.,unknown
now you don't have to choose between two worlds -- you can get the best of both.,unknown
"if you are planning to do this program, you will need to be advised in both the english and the education departments.",unknown
this is crucial to assuring that you satisfy all requirements of both programs.,unknown
view the english ed.,unknown
"check out the college of education requirements and admission process for english education for all kinds of information on teaching, check out the national council of teachers of english .",unknown
"our students are accomplished poets, fiction writers, essayists, translators, and interdisciplinary artists who are ready to move beyond the studio focus of the mfa to a more intensive program of literary study.",unknown
"prior to beginning their third year, students prepare reading lists for comprehensive exams in three academic research fields of their choosing.",unknown
every cwp student chooses “forms and craft” as one of their exam areas.,unknown
this reading list serves as a research field unique to each writer’s approach to their particular genre.,unknown
"some of the “forms and craft” lists designed recently by cwp students include, “the midwestern novel”; “occult and visionary poetics”; “history of surrealism”; “monstrosity in epic poetry”; and “literary translation: theory and practice.” the two other exam fields should complement and expand the student’s areas of expertise beyond craft in order to broaden their historical and theoretical understanding of literature.",unknown
during the third year students read in preparation for written and oral exams.,unknown
each written exam takes the form of a twenty-page written exhibit in which the student answers a directive question formulated in conjunction with the exam area’s director.,unknown
this exhibit should demonstrate the student’s grasp of the field as a whole and serves as a demonstration of their ability to teach in this area at the undergraduate level.,unknown
"once the student has passed written exams, they are admitted to an oral exam overseen by the exam committee as a whole.",unknown
during their fourth and fifth years cwp students complete a creative dissertation with a critical introduction.,unknown
"the dissertation typically is a full-length work in a single genre—a work of fiction, creative non-fiction, or poetry.",unknown
"in the past students have used the introduction as a scholarly analysis of the state of the genre, a critical meditation on process informed by literary history, or a theoretical tracing of literary influence.",unknown
students may submit up to three poems for consideration.,unknown
information on how to enter the contest will be circulated through the english department's undergraduate listserv in february.,unknown
only students who have applied for financial aid through osfa are eligible.,unknown
"preference is given for rising juniors or seniors, and recipients must be planning to enroll for the following fall term.",unknown
applicants will be asked to submit: this scholarship provides a generous contribution toward uga tuition for the following year.,unknown
"preference is given to students with financial need, as determined by uga’s office of student financial aid.",unknown
recipients must be planning to enroll for the following fall term.,unknown
the selection committee will recognize one undergraduate student and one graduate student.,unknown
this is an opportunity for undergraduate study abroad combining creative writing with cultural translation.,unknown
"the spark fellowship provides financial support of up to $4,000 for a student’s independent summer study abroad, involving the pursuit of a project that will combine creative writing and cultural translation.",unknown
"the term cultural translation encompasses a wide variety of possible projects, including the literary translation of texts into english or the reflection of intercultural experiences through language or art.",unknown
"previous projects have included the creation of a blog that was updated daily with observations, photographs, and short videos; and a short documentary film featuring interviews with relevant scholars and artists.",unknown
learn more at: https://english.uga.edu/ spark,unknown
"research, publication, and undergraduate teaching are never distinct practices, so we provide opportunities to connect research with teaching, to present scholarly work to a range of audiences, and to become part of a larger intellectual community.",unknown
"please send initial inquiries to the graduate coordinator, dr. isiah lavender iii, at isiah.lavender@uga.edu or phone at 706-542-2197.",unknown
"to join the department and to be assigned to an english department advisor, students should review our advising and mentoring page view advising and mentoring page all uga students are required to be advised every fall and spring semester.",unknown
you can’t register until you’ve had your advising appointment.,unknown
make an appointment shortly after drop/add to avoid a last-minute rush that might impact your ability to register on time.,unknown
all incoming first-year and transfer students will be advised at their in-person orientation session.,unknown
make sure to check out the new student orientation site for information about signing up for your orientation session and keep an eye on your inbox for new information.,unknown
advisors are not able to meet with incoming students or clear their registration holds before their in-person orientation session.,unknown
it is ok to be unspecified!,unknown
the exploratory center advises unspecified/undecided students.,unknown
"for details, see the honors website .",unknown
make an appointment in sage,unknown
students have also interned with a variety of different magazines and small business.,unknown
"your academic advisor is a professional who is trained in the details of all graduation requirements: departmental, college-wide, and university-wide.",unknown
"to make an advising appointment, go to https://sage.uga.edu/ .",unknown
"this is important, since your mentor will not only offer useful advice about the english department while you are here, but also can become a fruitful source of recommendation letters after you graduate.",unknown
"most important, however, your relationship with your mentor has the potential to enrich your experience in the english department by putting you in touch with someone who shares your passion for literature and learning.",unknown
"before meeting with your mentor for the first time, take a few moments to read his or her bio in the departmental directory.",unknown
this will tell you a good deal about that person's research interests and professional activities.,unknown
"at your meeting, begin by telling your mentor about yourself.",unknown
what are your favorite books?,unknown
what are your other interests?,unknown
they can also offer advice about how to turn a strong undergraduate project into a larger research project.,unknown
students who wish to study abroad may choose to do so by either arranging it independently (with advisors) or through one of the established uga programs.,unknown
visit the oxford program website visit the cortona program website visit the university of liverpool program website find more study abroad opportunities at the office of global engagement's website,unknown
"we offer classes focused on particular genres (fantasy, science fiction, spy novels), classes based in historical periods (like modernism or medievalism), classes focused on particular kinds of writing (epistolary, historical, creative), and more.",unknown
"we also have classes focused on the way literature interacts with various big ideas and topics, like literature and revolution, literature and the black atlantic, literature and philosophy, and literature and childhood.",unknown
check the list for your college here .,unknown
"a moderated conversation will follow the screening, which is free and open to the public.",unknown
"we were here, filmed across italy, france, spain, portugal, england, the netherlands, and brazil and showcased at the 60th international venice biennale of art in 2024, explores the presence of africans in europe during the 15th and 16th centuries through the reinterpretation of famous paintings depicting africans.",unknown
"it is a unique work in terms of both aesthetics and content, attracting many visitors and receiving wide international acclaim.",unknown
"this multilingual film helps students understand europe's historical and current context regarding its black population, exploring the evolution of racial concepts since the 16th century and revealing the untold stories and roles of influential african-europeans during the renaissance, including ambassadors, princes, saints, writers, and painters like juan de pareja.",unknown
"this film offers an invaluable resource for academic discussions, inviting deeper exploration of african contributions to european history and art.",unknown
"avid bookshop will have kenzie's debut poetry collection ""cloud missives"" available for purchase.",unknown
"kenzie allen is a haudenosaunee poet and multimodal artist, and author of cloud missives (tin house, 2024).",unknown
"her work can be found in poetry , boston review , narrative , best new poets , and other venues.",unknown
she is a first generation descendant of the oneida nation of wisconsin.,unknown
"intimate, dissecting, and liberating, cloud missives is a poetry collection of excavation and renewal.",unknown
"like an anthropologist, kenzie allen reveals a life from what endures after tragedies and acts of survival.",unknown
"across four sections, poems explore pop culture—the stereotypes in peter pan , indiana jones , and beyond—fairy tales, myths, protests, and forgotten histories, before arriving at a dazzling series of love poems that deepen our understanding of romantic, platonic, and communal love.",unknown
"cloud missives is an investigation, a manifestation, and a celebration: of the body, of what we make and remake, of the self, and of the heart.",unknown
"with care and deep attention, it asks what one can reimagine of indigenous personhood in the wake of colonialism, what healing might look like when loving the world around you—and introduces readers to a profound new voice in poetry.",unknown
"although “fandom” is typically male-coded and its inception reflexively associated with the original run of star trek, edwards’ work demonstrates how pivotal women and queer writers were to the emergence of fan cultures in the early twentieth century.",unknown
"before fanfiction deepens our understanding of the intersections among modernism, regionalism, and print culture by tracing how they interweave among a diverse array of fan communities.",unknown
"edwards brilliantly resituates nella larsen and gwendolyn brooks, for instance, in a genealogy of “race-bending” proto-fanfiction.",unknown
before fanfiction won honorable mention for the mla prize for contingent and independent scholars.,unknown
you are encouraged to bring questions!,unknown
"her work has been published in wpa, across the disciplines, praxis, computers and composition, and research in online literacy education.",unknown
"she is also the founding editor of the international writing center association's newest journal, the peer review: a journal for writing center practitioners.",unknown
dr. lindsey harding senior academic professional director of the writing intensive program lindsey harding is the director of the writing intensive program at the university of georgia.,unknown
"since 2016, lindsey has also co-led write@uga, a spotlight on writing across campus held annually in february, featuring a guest speaker series, pedagogy workshops, and panel discussions.",unknown
he is one of the co-editors of the norton anthology of american literature and the lead editor for volume b (1820-1865).,unknown
"his research focuses on the narrative aspects of literary history, examining how stories are constructed about the writers, periods, and genres that define american literature.",unknown
"his most recent book is melville, beauty, and american literary studies: an aesthetics in all things (oxford university press, 2023).",unknown
"it reconsiders the writings of herman melville as meditations on the nature and effects of aesthetic experience, and provides new ways of thinking about american literary history.",unknown
"melville, beauty, and american literary studies was positively reviewed in the u.s., u.k., france, italy, spain, poland, germany, and japan.",unknown
"reviews can be found here, here, and here.",unknown
"her research interests include euthanasia, dystopian literature, and empathy.",unknown
"her articles have appeared in journals such as documentary editing, the journal of pre-raphaelite studies, and victorian literature and culture.",unknown
"along with dr. nicole lobdell, dr. reeves edited an edition of h.g.",unknown
wells' the invisible man for broadview press.,unknown
"dr. andrew zawacki reviewed the entries and concluded that cooper's proposal was, "" both fascinating and feasible. """,unknown
"of the project, dr. uelzmann shared, “this is an exciting and very timely project that i am thrilled to be a part of.",unknown
i very much look forward to supporting his work and the encounters he will have with syrian and other refugee artists in berlin.”,unknown
according to new african magazine :,unknown
"rebecca hallman martini specializes in writing center studies, writing across the disciplines, ethnographic research methods, and composition pedagogy.",unknown
"her work has been published in wpa, across the disciplines, praxis, computers and composition, and research in online literacy education.",unknown
"she is also the founding editor of the international writing center association's newest journal, the peer review: a journal for writing center practitioners.",unknown
"american indian author, playwright, and scholar, leanne howe was born and educated in oklahoma and is an enrolled citizen of the choctaw nation of oklahoma.",unknown
"she is an author, poet, playwright, filmmaker and scholar with a focus on american indian experiences.",unknown
"her remarkable body of work has reshaped conversations about american letters and indigenous literature worldwide.""",unknown
"view the blakely archive sihle ntuli is a poet, classicist and editor from durban, south africa.",unknown
his writing has been supported by the johannesburg institute of advanced studies in south africa and the centre for stories in australia through the jias fellowship & patricia kailis fellowship respectively.,unknown
he also served as the editor-in-chief of south africa’s oldest literary magazine new contrast in 2023. he is a 2024 best of the net poetry winner and a pushcart prize nominee.,unknown
"his poems have appeared in adda stories, poetry wales, poetry ireland review, poetry london, and elsewhere.",unknown
he is the author of two poetry chapbooks; rumblin (uhlanga 2020) and the nation (river glass books 2023) alongside two full length collections stranger (aerial publishing 2015) and zabalaza republic (botsotso publishing 2023) sihle's name is pronounced with two syllables as see+hle.,unknown
you can follow him on : @sihlexntuli,unknown
"click here to access general departmental information, policies, forms, and other resources.",unknown
"click here to log into the english website to update your profile information once you have logged into the site, navigate to your page under people and click the edit tab (if you have any trouble finding your page, put your last name in the search form at the top of every page.",unknown
"nb, your user page (the page you land on when you log in) is not your people page.",unknown
you must go to your people page after login.,unknown
you will be able to upload new photos and cvs from there.,unknown
click here for additional teaching resources.,unknown
"if you experience difficulty logging in, please put in a helpdesk ticket via helpdesk.franklin.uga.edu .",unknown
surrealism; media theory) and on individual theorists (e.g.,unknown
benjamin; barthes).,unknown
"philosophy, comparative literature, and romance languages).",unknown
"this year’s contest will be judged by vivek narayanan , the 2024-2025 diann blakely visiting poet .",unknown
the winning poem will be preserved digitally as part of the diann blakely archive at uga.,unknown
please note that previously published work and work currently submitted for publication elsewhere is ineligible.,unknown
"to ensure that entries will be judged blindly, poetry submissions should have no identifying information in the poem or file name.",unknown
anyone currently affiliated with the university of georgia as student or employee is ineligible to participate.,unknown
"friends, relatives, colleagues, and current or former students of the judge are also ineligible.",unknown
previous winners of the contest should wait three years before entering again.,unknown
"view details + submit your poem vivek narayanan ’s most recent books of poems are after (new york review books / harpercollins india, 2022) and the kuruntokai and its mirror (hanuman editions, 2024).",unknown
"his work has appeared in poetry , the paris review , the penguin book of the prose poem and the bloodaxe book of contemporary indian poetry .",unknown
(illustration of vivek narayanan by deepankar gohain),unknown
"her other honors include a 2021 national endowment for the arts fellowship, a 2019-2020 fine arts work center fellowship, and the stanley kunitz memorial prize from the american poetry review.",unknown
"john vance taught at park hall from 1979 to 2010. his teaching interests included shakespeare, the restoration and eighteenth century, modern drama, and nineteenth-century horror literature.",unknown
"he published books on samuel johnson, james boswell, william wycherley, and the warton brothers.",unknown
"his articles included pieces on johnson, boswell, swift, the wartons, dryden, garrick, restoration drama, and milton.",unknown
"his other interests included local theater--as an actor, director, producer, and playwright.",unknown
"he is now devoting his creative energies to fiction, with nineteen novels published.",unknown
website: www.authorjohnvance.com,unknown
dr. mary anne o'neal earned her b.a.,unknown
"in english at mars hill college in 1985, her m.a.",unknown
"from western carolina university in 1988, and her ph.d. in english from the university of georgia in 1999. she taught english at uga for three decades and was beloved by generations of her students.",unknown
mary anne o'neal's obituary,unknown
"mitchell did graduate work in english literature at duke and the university of bonn, in germany.",unknown
he has served as president of melus; the society for the study of southern literature; the southern american studies association; and the louisiana folklore society.,unknown
he has received an acls fellowship; an neh research fellowship; a virginia foundation for the humanities fellowship; and a louisiana board of regents fellowship.,unknown
he is currently writing the authorized biography of ernest j. gaines.,unknown
carney was a 2020-2022 usg leadership fellow for the university system of georgia (usg) and served on the usg leadership and institutional development advisory committee.,unknown
"her scholarly interests include american literature of the twentieth century, educational development, and the scholarship of teaching and learning.",unknown
she served on the editorial board of the edith wharton review from 2015-2020 and was an associate editor of the international journal of teaching and learning in higher education (ijtlhe) from 2014-2016. she is treasurer of the edith wharton society .,unknown
she was a member of the department from 1978-2008. she specializes in british romanticism and the gothic tradition and has a strong interest in feminist literary theory.,unknown
she published two books with the university of chicago press: prophetic strain: the greater lyric in the eighteenth century (1984) and art of darkness: a poetics of gothic (1995).,unknown
"she edited three vampire tales: the vampyr, carmilla, and dracula for houghton mifflin in 2003 and co-edited with christy desmet, shakespearean gothic (university of wales press, 2009).",unknown
"among her numerous articles on romantic, gothic, and operatic topics is a translation from french of the libretto of charles gounod’s 1854 opera la nonne sanglante .",unknown
"she currently serves as the american book review editor for gothic studies , and is completing a psychobiography of horace walpole, “’monstrous pleasures’: horace walpole’s gothic operas.""",unknown
"after receiving my ph.d. from the university of alabama in 1996, i have taught a variety of classes at uga.",unknown
"my dissertation, on james fenimore cooper, lydia maria child, catherine maria sedgewick, maria cummins, susan warner, and the cult of domesticity, has ended up as a book, james fenimore cooper versus the cult of domesticity, which was published in 2005 by mcfarland publishers, inc.i have in addition presented several papers on cooper's texts, the latest two on cooper's description of interiors as a measure of familial dysfunction, and of natty bumppo as a wilderness sir gawain (the latter with my friend dr. nanda hopenwasser, u. of alabama).",unknown
my two latest publications have been articles on the deerslayer and the pioneers for books on james fenimore cooper.,unknown
i am at present researching medieval scandinavian mercenaries for an upcoming book.,unknown
"i'm fond of medieval and early modern literature and history, and in science fiction, and have presented papers on topics ranging from norse sagas to scottish mercenaries in 17th century norway and anne mccaffrey's pern novels.",unknown
"with dr. hopenwasser, i have presented papers on margery kempe, st. birgitta of sweden, the jewish mystic hayyim vital, and the 19th century adventuress loreta janeta velasquez.",unknown
"we have also collaborated on an article for the alabama heritage on annie wheeler, a short play about st. birgitta and margery kempe, and an article about them for a book on comparative essays on medieval european and heian japanese women writer.",unknown
"before coming to the u.s. from norway, i taught english, german, norwegian, italian, and history, and translated novels, biographies, and graphic novels from english, french, italian, swedish, and danish for a norwegian publisher.",unknown
"she has written extensively on the art, literature, and science of colonialism, and she is co-editor of books on women and material culture: women and things, 1750-1950: gendered material strategies (ashgate, 2009); women and the material culture of needlework and textiles, 1750-1950 (ashgate, 2009); material women, 1750-1950: consuming desires and collecting practices (ashgate, 2009), and women and the material culture of death (ashgate, 2013).",unknown
her current research examines the visual culture and material practices of insect collecting in the late eighteenth and early nineteenth centuries.,unknown
"link to shell book: https://yalebooks.yale.edu/book/9780300192230/duchesss-shells links to ashgate books: women and the material culture of needlework and textiles, 1750–1950 http://www.ashgate.com/isbn/9780754665380 material women, 1750–1950 http://www.ashgate.com/isbn/9780754665397 women and things, 1750–1950 http://www.ashgate.com/isbn/9780754665502 the materiality of color http://www.ashgate.com/isbn/9781409429159 women and the material culture of death http://www.ashgate.com/isbn/9781409444169",unknown
i have retired from teaching.,unknown
i continue an active research program in theatre history and in the work of women writing before 1700.,unknown
"ph.d. (1978), american literature, university of south carolina.",unknown
"he is the author of voice and eye in faulknerís fiction (1983), robert penn warren and the american imagination (1990), and reading faulkner: light in august (1994).",unknown
"he has edited three collections of georgia writing: georgia voices: fiction (1992), georgia voices: non-fiction (1994) , and georgia voices: poetry (2000).",unknown
currently he is literature section editor of the new georgia encyclopedia .,unknown
"he has published essays on faulkner, warren, john irving, jack kerouac, john kennedy toole, james wilcox, thomas wolfe, erskine caldwell, and other writers as well as on film.",unknown
"in the winter 2003 issue of southern cultures , a chapter on the novel the sure hand of god in reading erskine caldwell: new essays (2006), and an essay on georgia poet byron herbert reece in the chattahoochee review (2007).",unknown
a chapter on faulkner's short stories recently appeared in the blackwell companion to the american short story .,unknown
"an essay entitled ""american dreams and country music: nashville and payday"" recently appeared in a volume entitled southerners on film: essays on hollywood portrayals since the 1970s.",unknown
"his teaching and research interests include american literature, southern literature, the novel, popular culture, and american film.",unknown
from 1990-2000 he was on the editorial board of the journal sulfur.,unknown
"his poetry titles include tabula rasula (1986), hot wax, or psyche’s drip (2007), and hectic pigment (2017) as well as numerous translations in his anthologies burning city: poems of metropolitan modernity co-edited with tim conley (2012) and imagining language co-edited with steve mccaffery (1998).",unknown
"rasula’s recent scholarly titles are a history of dada, destruction was my beatrice (basic books 2015) , history of a shiver: the sublime impudence of modernism (oxford u.p.",unknown
"2016), and acrobatic modernism, from the avant-garde to prehistory (oxford u.p.",unknown
"forthcoming are genre and extravagance in the novel (oxford 2021) wreading: a potential intelligence (u. alabama p. 2021), and a book about the impact of ""the waste land"" on modern poetry, what the thunder said (princeton u.p.",unknown
rasula has served terms on the advisory board of pmla and the editorial board of american literature .,unknown
"examples: engl 8600, innovations in critical writing ; engl 6830, theory and practice of the avant-garde ; engl 8600, “armed with madness”: consciousness in extremis in modern fiction ; engl 6774, modern american poetry ; engl 6830, contemporary poetics in theory and practice ; engl 8600, kafka and the kafkaesque ; engl 6740, encyclopedic form in american poetry ; engl 8600, metropolitan modernity ; engl 6830, modern fiction, theory and practice ; engl 8600, varieties of poetic experience ; engl 8600, reading ; engl 6830, aesthetics and modernity ; engl 8600, pleasure and the text ; engl 6830, varieties of aesthetic experience ; engl 8600, encyclopedic respiration in the long poem .",unknown
he is the president of the international society for the study of the american short story and a former president of the international ernest hemingway society.,unknown
"early in his career he founded the scholarly journal studies in american fiction and the widely influential series critical essays on american literature , which published 156 volumes of scholarship.",unknown
"joe wei (he/him) has research interests in asian american literature, critical refugee studies, literature and sociology, and poetry and poetics.",unknown
"he is currently working on a book manuscript titled refugee poetics , which draws on oral history alongside textual analysis to examine the poetry and literary organizations made by 1.5- and second-generation vietnamese, hmong, lao, and cambodian american poets.",unknown
he has also created an oral history archive of asian american poets from the 1970s to the present with support from the smithsonian asian pacific american center.,unknown
"before arriving at uga, dr. wei was a postdoctoral fellow at the center for research on race & ethnicity in society at indiana university-bloomington.",unknown
"her most recent collection, the tiniest muzzle sings songs of freedom, came out from wave books in the spring of 2019. the operating system released zurawski’s poem/essay don’t be scared as a chapbook in summer 2019 and her essay being human is an occult practice was published by ugly duckling presse in fall 2020. zurawski is a 2022-23 fulbright scholar in łodz, poland, where she is conducting research for her next book project.",unknown
"he has published articles and reviews in raritan , contemporary literature , wallace stevens journal , symbiosis , twentieth century literature , american literary history , and slate .",unknown
"he is currently working on two book projects: a study of postwar american culture called mid-century moderns: hitchcock, auden, stravinsky , and another on the very late poems of auden.",unknown
"he has been writer-in-residence at the james merrill house in stonington, conn., a huntington fellow, and a whiting fellow.",unknown
"over the last two decades, my research has been driven by a set of interrelated theoretical questions as i explored a wide range of historical and cultural phenomena.",unknown
"while the pursuit of these fundamental questions has guided me through several related academic fields (modernist studies, comparative literature, american studies, cold war studies, continental philosophy, and translation theory), the guiding light in these inquiries has always been the same concern with the political functions of literature amidst the permanent crises of modernity.",unknown
i am currently in the process of exploring some new directions in my research as i have been doing more and more work in the fields of media philosophy and new media studies.,unknown
"my first book, the naked communist (fordham up, 2012), explores the ways literature participated in the constitution of the global imaginaries of early-cold war us mainstream culture in the 1950s.",unknown
"by dividing the globe into three separate “worlds,” this cultural imaginary tried to contain a historical crisis that, for the first time in the history of the west, threatened the entire globe with the real possibility of human extinction.",unknown
i tried to demonstrate that in this historical context the idea of “modernism” was reconfigured to provide an ideological justification for a specific type of post-colonial imperialism whose long-term effects are still detectable today.,unknown
the conclusions of this book set me on a broader research agenda that i am currently exploring in my current work.,unknown
"my second monograph, worldlessness after heidegger (edinburgh up, 2020), examines the way the concept of “worldlessness” has emerged in 20 th -century continental philosophy as the standard name for the epochal catastrophe that supposedly threatens us all with the loss of our humanity.",unknown
"according to this intellectual tradition, technological development, imperialism, globalization, the generalization of war-like conditions over the globe, and the looming threat of ecological disaster have created a historical situation in which humanity is simultaneously ever more technologically connected and is increasingly incapable of constructing a shared common “world.” this lost sense of a shared community, then, supposedly explains the rise of authoritarian political tendencies today.",unknown
"the book argues that some of the most influential intellectual innovations of the 20 th century like phenomenology, psychoanalysis, and deconstruction should be seen as fundamentally political responses to this historical situation and calls for affirmative definitions of “worldlessness.” in addition to traditional forms of academic literary and cultural criticism, i am also deeply committed to editing and translation.",unknown
i got involved with editing while i was still a graduate student at suny/buffalo.,unknown
i have always considered these opportunities to have been foundational experiences of my education as they showed me the force and necessity of creating intellectual communities around pressing contemporary questions.,unknown
"the book series, provocations , that i co-edit with marco abel for the university of nebraska press was conceived in the same spirit as it publishes short polemical interventions into contemporary academic debates.",unknown
"my theoretical interest in translation has always been rooted in the practice of translation, which has been my constant preoccupations for the entirety of my academic career.",unknown
"since it is impossible to separate the theory from the actual experience of translation, over the years i have also specialized in the translation of continental philosophy and critical theory.",unknown
"i am the translator and co-translator of three books: rodolphe gasché’s georges bataille: phenomenology and phantasmatology (stanford university press, 2012), peter szendy’s all ears: the aesthetics of espionage (fordham university press, 2017), and fethi benslama’s thinking revolution: writings on insubmission (co-translated with nathan gorelick, forthcoming from bloomsbury).",unknown
other publications,unknown
"j. d. sargan (he/him) specializes in medieval english literature, paleography, codicology, and the history of the book.",unknown
"he is the co-editor of the routledge handbook to the history of the book in medieval western europe, 650–1550 (forthcoming 2025) and of the medieval volume of a cultural history of trans lives (forthcoming 2027).",unknown
dr sargan's research occupies three overlapping spheres.,unknown
"his first book project, reading early middle english books , is invested the multiplicity of partial literacies exhibited by readers of manuscripts from 1066–1300.",unknown
"in it he uses critical approaches to non-verbal evidence—marks, dirt, and the haptics of binding—to show that reading was a social act that extended the written word to those far beyond the limits of traditional considerations of literacy.",unknown
his interest in the haptics and handling of books lead to dr sargan’s work investigating binding structures using scientific imaging.,unknown
"collaborations on this research have produced proof on concept studies on the use of micro-ct in researching no longer extant binding structures (published in digital philology , 2022); the use of such imaging for conservation planning and decision making (in preparation, care and conservation of manuscripts ); and the visualization of medieval fragments reused in the production of early modern bindings.",unknown
"finally, both of these research areas have been a prompt to critical thinking about methodology.",unknown
"dr sargan’s second book project, trans histories of the medieval book: experiments in bibliography (forthcoming 2025), take a theoretical approach to traditional methods in the study of manuscripts, assessing their historical roots in imperialist intellectual traditions and proposes an alternative approach grounded in queer and trans liberation.",unknown
an initial trial of this approach can be found in “what could a trans book history look like?,unknown
"toward trans codicology”, criticism 64.3-4 (2023).",unknown
dr sargan teaches a class on queer bibliographies for california rare book school.,unknown
"andrew zawacki is the author of six poetry books: these late eclipses (verge, due 2025), unsun : f/11 (coach house, 2019); videotape (counterpath, 2013); petals of zero petals of one (talisman house, 2009); anabranch (wesleyan, 2004); and by reason of breakings (georgia, 2002).",unknown
"a former rhodes scholar and fulbright scholar, zawacki earned his doctorate from the committee on social thought at the university of chicago and coedited the international journal verse from 1995 to 2019. he is currently a fellow in the photobook long term program offered by the penumbra foundation and image threads collective.",unknown
"zawacki has also published four books in france: sonnetssonnants , translated by anne portugal; georgia and carnet bartleby , both translated by sika fakambi; and par raison de brisants , translated by antoine cazé and a finalist for the prix nelly sachs.",unknown
"anabranche , translated by sika fakambi, is forthcoming.",unknown
"arrow's shadow is out from equipage in the uk, and kaeshi-waza was published in canada by the elephants.",unknown
"sonnensonnets appeared from tammy, waterfall plot from greying ghost.",unknown
"his work has appeared in poems for political disaster , legitimate dangers: american poets of the new century , the iowa anthology of new american poetries , great american prose poems , the eloquent poem , and other anthologies, as well as magazines such as the new yorker , the nation , and the new republic .",unknown
he coedited the late expatriate writer gustaf sobin's collected poems and serves as co-executor of sobin's literary estate.,unknown
"zawacki has published criticism in the tls , boston review , chicago review , how2 , jacket2, new german critique , and elsewhere.",unknown
zawacki is working on a quartet of projects.,unknown
